name	type	ratingValue	ratingCount	price	url	imgUrl	imgAlt	description
ADDE	Chair	4.5	651	15.0 USD	https://www.ikea.com/us/en/p/adde-chair-white-10219178/	https://www.ikea.com/us/en/images/products/adde-chair-white__0728280_pe736170_s5.jpg	ADDE Chair, white	"You can stack the chairs, so they take less space when you're not using them.
Recommended for indoor use only.
To prevent surface scratches and the sound of chair legs scraping on the floor, add FIXA self-adhesive floor protectors, sold separately.
"
ADDE	Chair	4.5	651	15.0 USD	https://www.ikea.com/us/en/p/adde-chair-white-10219178/	https://www.ikea.com/us/en/images/products/adde-chair-white__0728280_pe736170_s5.jpg	ADDE Chair, white	"You can stack the chairs, so they take less space when you're not using them.
Recommended for indoor use only.
To prevent surface scratches and the sound of chair legs scraping on the floor, add FIXA self-adhesive floor protectors, sold separately.
"
ADDE	Chair	4.5	651	15.0 USD	https://www.ikea.com/us/en/p/adde-chair-white-10219178/	https://www.ikea.com/us/en/images/products/adde-chair-white__0728280_pe736170_s5.jpg	ADDE Chair, white	"You can stack the chairs, so they take less space when you're not using them.
Recommended for indoor use only.
To prevent surface scratches and the sound of chair legs scraping on the floor, add FIXA self-adhesive floor protectors, sold separately.
"
POÄNG	Armchair	4.7	318	119.0 USD	https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s59305928/	https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-knisa-light-beige__0571500_pe666933_s5.jpg	POÄNG Armchair, birch veneer/Knisa light beige	"The layer-glued bent wood frame gives the armchair a comfortable resilience, making it perfect to relax in.
The high back provides good support for your neck.
A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room.
To sit even more comfortably and relaxed, you can use the armchair together with a POÄNG ottoman.
10-year limited warranty. Read about the terms in the limited warranty brochure.
Possible to separate for recycling or energy recovery if available in your community.
"
POÄNG	Armchair	4.7	318	119.0 USD	https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s59305928/	https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-knisa-light-beige__0571500_pe666933_s5.jpg	POÄNG Armchair, birch veneer/Knisa light beige	"The layer-glued bent wood frame gives the armchair a comfortable resilience, making it perfect to relax in.
The high back provides good support for your neck.
A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room.
To sit even more comfortably and relaxed, you can use the armchair together with a POÄNG ottoman.
10-year limited warranty. Read about the terms in the limited warranty brochure.
Possible to separate for recycling or energy recovery if available in your community.
"
POÄNG	Armchair	4.7	318	119.0 USD	https://www.ikea.com/us/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s59305928/	https://www.ikea.com/us/en/images/products/poaeng-armchair-birch-veneer-knisa-light-beige__0571500_pe666933_s5.jpg	POÄNG Armchair, birch veneer/Knisa light beige	"The layer-glued bent wood frame gives the armchair a comfortable resilience, making it perfect to relax in.
The high back provides good support for your neck.
A variety of seat cushion designs makes it easy to change the look of your POÄNG chair and your living room.
To sit even more comfortably and relaxed, you can use the armchair together with a POÄNG ottoman.
10-year limited warranty. Read about the terms in the limited warranty brochure.
Possible to separate for recycling or energy recovery if available in your community.
"
ÖSTANÖ	Chair	4.5	32	25.0 USD	https://www.ikea.com/us/en/p/oestanoe-chair-deep-green-remmarn-deep-green-90568903/	https://www.ikea.com/us/en/images/products/oestanoe-chair-deep-green-remmarn-deep-green__1209972_pe909498_s5.jpg	ÖSTANÖ Chair, deep green Remmarn/deep green	"With sofa-comfort feel, this chair can also serve as cosy extra seating in your bedroom, hallway, living room or wherever you would like a comfy spot to relax without taking up too much space.
You can sit comfortably for a long time at the table since the angle of the backrest provides good lumbar support.
Upholstered chair seat distributes your body weight and reduces pressure on the sitting bone.
Simple to assemble since you avoid needing to wonder about which legs should face forward. They are all the same.
Create a unified expression with several chairs of the same color or mix chairs of different colors.
A slim design that blends in without taking up too much visual space in the room, yet sturdy enough to hold up to everyday activities.
The chair stands firmly in place thanks to the metal underframe.
Possible to separate for recycling or energy recovery if available in your community.
A maximum of 4 chairs can be stacked together.
"
ÖSTANÖ	Chair	4.5	32	25.0 USD	https://www.ikea.com/us/en/p/oestanoe-chair-deep-green-remmarn-deep-green-90568903/	https://www.ikea.com/us/en/images/products/oestanoe-chair-deep-green-remmarn-deep-green__1209972_pe909498_s5.jpg	ÖSTANÖ Chair, deep green Remmarn/deep green	"With sofa-comfort feel, this chair can also serve as cosy extra seating in your bedroom, hallway, living room or wherever you would like a comfy spot to relax without taking up too much space.
You can sit comfortably for a long time at the table since the angle of the backrest provides good lumbar support.
Upholstered chair seat distributes your body weight and reduces pressure on the sitting bone.
Simple to assemble since you avoid needing to wonder about which legs should face forward. They are all the same.
Create a unified expression with several chairs of the same color or mix chairs of different colors.
A slim design that blends in without taking up too much visual space in the room, yet sturdy enough to hold up to everyday activities.
The chair stands firmly in place thanks to the metal underframe.
Possible to separate for recycling or energy recovery if available in your community.
A maximum of 4 chairs can be stacked together.
"
ÖSTANÖ	Chair	4.5	32	25.0 USD	https://www.ikea.com/us/en/p/oestanoe-chair-deep-green-remmarn-deep-green-90568903/	https://www.ikea.com/us/en/images/products/oestanoe-chair-deep-green-remmarn-deep-green__1209972_pe909498_s5.jpg	ÖSTANÖ Chair, deep green Remmarn/deep green	"With sofa-comfort feel, this chair can also serve as cosy extra seating in your bedroom, hallway, living room or wherever you would like a comfy spot to relax without taking up too much space.
You can sit comfortably for a long time at the table since the angle of the backrest provides good lumbar support.
Upholstered chair seat distributes your body weight and reduces pressure on the sitting bone.
Simple to assemble since you avoid needing to wonder about which legs should face forward. They are all the same.
Create a unified expression with several chairs of the same color or mix chairs of different colors.
A slim design that blends in without taking up too much visual space in the room, yet sturdy enough to hold up to everyday activities.
The chair stands firmly in place thanks to the metal underframe.
Possible to separate for recycling or energy recovery if available in your community.
A maximum of 4 chairs can be stacked together.
"
JÄTTEBO	Cover 1.5-seat module with storage	0.0	0	70.0 USD	https://www.ikea.com/us/en/p/jaettebo-cover-1-5-seat-module-with-storage-samsala-dark-yellow-green-80528984/	https://www.ikea.com/us/en/images/products/jaettebo-cover-1-5-seat-module-with-storage-samsala-dark-yellow-green__1109575_pe870065_s5.jpg	JÄTTEBO Cover 1.5-seat module with storage, Samsala dark yellow-green	"This cover is made from Samsala, an extra-wide-wale and strong corduroy fabric with soft comfort and an expression that adds character to the room.
Extra covers to alternate with mean it's easy to give both your sofa and room a new look.
The cover is easy to keep clean since it can be machine washed and is easy to take off and put on again.
This product is an extra cover. Sofa is sold separately.
"
